文字,数字
ア,1
オ,2
ウ,3
エ,4
イ,5
カ,6
コ,7
ク,8
ケ,9
キ,10
サ,11
ソ,12
ス,13
セ,14
シ,15
タ,16
ト,17
ツ,18
テ,19
チ,20
ナ,21
ノ,22
ヌ,23
ネ,24
ニ,25
ハ,26
ホ,27
フ,28
ヘ,29
ヒ,30
マ,31
モ,32
ム,33
メ,34
ミ,35
ヤ,36
ヨ,37
ユ,38
延,39
似,40
ラ,41
ロ,42
ル,43
レ,44
リ,45
ワ,46
ヲ,47
宇,48
恵,49
葦,50
ガ,51
ゴ,52
グ,53
ゲ,54
ギ,55
ザ,56
ゾ,57
ズ,58
ゼ,59
ジ,60
ダ,61
ド,62
ヅ,63
デ,64
ヂ,65
バ,66
ボ,67
ブ,68
ベ,69
ビ,70
パ,71
ポ,72
プ,73
ペ,74
ピ,75
阿,76
於,77
宥,78
衣,79
伊,80
須,81
ン,1
Ａ,1
Ｂ,2
Ｃ,3
Ｄ,4
Ｅ,5
Ｆ,6
Ｇ,7
Ｈ,8
Ｉ,9
Ｊ,10
Ｋ,11
Ｌ,12
Ｍ,13
Ｎ,14
Ｏ,15
Ｐ,16
Ｑ,17
Ｒ,18
Ｓ,19
Ｔ,20
Ｕ,21
Ｖ,22
Ｗ,23
Ｘ,24
Ｙ,25
Ｚ,26
